Nombre,Descripcion,Categoria,Cantidad,Precio,Precio Compra
Fertilizante Organico NPK,Abono organico completo,Fertilizantes,150,25000,18000
Semillas de Maiz Hibrido,Semillas certificadas,Semillas,500,15000,12000
Herbicida Glifosato,Herbicida sistemico,Pesticidas,80,35000,28000
Sistema de Riego por Goteo,Kit completo de riego,Riego,25,450000,380000
Pala de Jardin Profesional,Pala de acero inoxidable,Herramientas,40,85000,65000
Fertilizante Urea 46%,Fertilizante nitrogenado,Fertilizantes,200,22000,17000
Semillas de Tomate Cherry,Semillas organicas,Semillas,300,12000,9000
Insecticida Neem,Insecticida organico,Pesticidas,60,42000,35000
Manguera de Riego 50m,Manguera flexible,Riego,30,95000,75000
Azadon de Acero,Azadon profesional,Herramientas,35,65000,50000
